LABEL	SENTENCE
导购#不成交	不买了
导购#不成交	不买了咯
导购#不成交	不买了，不会
导购#不成交	不想买了
导购#不成交	不想买了···谢谢···
导购#不成交	好吧我不买了
导购#不成交	好吧我不在你这里买手机了
导购#不成交	好吧那么我不买了
导购#不成交	好吧那我换家店了
导购#不成交	好吧，我不买了
导购#不成交	好的我还是不买了
导购#不成交	并不想买
导购#不成交	我不买了
导购#不成交	我不买手机
导购#不成交	我不想买了
导购#不成交	我不想买了额
导购#不成交	我不想买手机了
导购#不成交	我不是很想买了
导购#不成交	真的不买
导购#不成交	算了我不买了
导购#不成交	算了我还是不买了
导购#不成交	算了，不买了
导购#不成交	那不买了
导购#开始	专门给老年人用的手机有吗
导购#开始	买个手机
导购#开始	买台手机玩玩
导购#开始	买手机
导购#开始	买手机呢
导购#开始	买手机咯
导购#开始	买手机啊
导购#开始	买手机啊........
导购#开始	买手机喽
导购#开始	什么手机比较好
导购#开始	介绍下新手机
导购#开始	你们这里有什么手机卖
导购#开始	你好 我想要买手机
导购#开始	你好我想买手机
导购#开始	你好我要买手机
导购#开始	你好！我想买手机
导购#开始	你好，我想买手机
导购#开始	你好，我是来买手机的
导购#开始	你好，我要买手机
导购#开始	你好，请问有什么手机
导购#开始	你好，这里有什么手机卖
导购#开始	你好，这里有什么手机卖吗
导购#开始	你好，这里有什么手机卖的
导购#开始	你帮我买手机吗
导购#开始	你有什么好手机介绍？
导购#开始	你有什么手机介绍？
导购#开始	你这有什么手机卖
导购#开始	你这里卖手机吗
导购#开始	你这里是不是有手机卖？
导购#开始	你这里是卖手机的吗
导购#开始	你这里有什么卖的
导购#开始	你这里有什么手机
导购#开始	你这里有什么手机卖
导购#开始	你这里有卖手机的是吗
导购#开始	你这里有手机卖吗
导购#开始	你这里有没有智能手机买
导购#开始	再来聊聊
导购#开始	卖不卖手机
导购#开始	原来的手机坏了，想换台新手机
导购#开始	哦，有什么手机推荐呢？
导购#开始	啊你好请问有什么手机
导购#开始	好再聊一聊手机
导购#开始	好吧，我来买手机
导购#开始	帮帮我选手机
导购#开始	帮我挑选个手机
导购#开始	帮我选一台手机
导购#开始	帮我选一款手机吧
导购#开始	怎么买手机
导购#开始	想买一台手机
导购#开始	想买手机
导购#开始	想买部手机
导购#开始	想你帮我推荐一部手机
导购#开始	我们继续把
导购#开始	我们继续聊
导购#开始	我们继续聊手机
导购#开始	我们聊手机
导购#开始	我们说点什么好
导购#开始	我们还是说说手机不
导购#开始	我再来一次
导购#开始	我再看看
导购#开始	我又想买手机了
导购#开始	我可以挑什么
导购#开始	我想买一台手机
导购#开始	我想买一款手机
导购#开始	我想买一部手机
导购#开始	我想买手机
导购#开始	我想买手机】
导购#开始	我想买手机啊
导购#开始	我想买手机！
导购#开始	我想买手机？
导购#开始	我想买新手机
导购#开始	我想和你聊天
导购#开始	我想换手机
导购#开始	我想看手机
导购#开始	我想看看你这里的手机
导购#开始	我想看看手机
导购#开始	我想给我妈妈买一部手机
导购#开始	我想要买手机
导购#开始	我想要买手机。
导购#开始	我想要手机
导购#开始	我是买手机的
导购#开始	我是来买手机的
导购#开始	我来买手机吧
导购#开始	我现在想换个手机
导购#开始	我要一台新手机
导购#开始	我要买个新手机
导购#开始	我要买几款手机
导购#开始	我要买手机
导购#开始	我要买手机,
导购#开始	我要买手机、
导购#开始	我要买手机呀
导购#开始	我要买手机啊
导购#开始	我要买新款的手机
导购#开始	我要买款手机
导购#开始	我要手机
导购#开始	我要看看手机
导购#开始	我要给我妈妈买个手机
导购#开始	我需要一台新手机
导购#开始	手机
导购#开始	手机怎么卖
导购#开始	手机有什么东西聊？
导购#开始	推荐一台手机给我
导购#开始	推荐一款手机给我吧
导购#开始	推荐一款新的手机
导购#开始	是聊手机
导购#开始	有什么好介绍的
导购#开始	有什么好手机推荐吗？
导购#开始	有什么手机
导购#开始	有什么手机介绍
导购#开始	有什么手机卖
导购#开始	有什么手机卖？
导购#开始	有什么手机可以买？
导购#开始	有什么手机可以介绍
导购#开始	有什么手机啊
导购#开始	有什么手机推荐一下
导购#开始	有什么手机推荐下
导购#开始	有什么手机比较好
导购#开始	有什么手机能卖给我
导购#开始	有什么手机能推荐
导购#开始	有什么手机？
导购#开始	有什么新款的手机
导购#开始	有什么比较好的手机
导购#开始	有手机吗
导购#开始	有没有手机啊
导购#开始	有没有比较好的手机
导购#开始	有那些手机
导购#开始	来一款手机
导购#开始	来一部手机
导购#开始	来买手机
导购#开始	直接给我推荐一台
导购#开始	看手机
导购#开始	看看先咯
导购#开始	看看手机呀
导购#开始	给我介绍一台手机吧
导购#开始	给我介绍款手机
导购#开始	给我妈妈买个手机
导购#开始	给我推荐一台
导购#开始	给我推荐一款手机
导购#开始	给我推荐手机吧
导购#开始	继续
导购#开始	聊手机吧
导购#开始	聊手机啊
导购#开始	聊手机嘛
导购#开始	聊点什么把
导购#开始	说说手机
导购#开始	请问有什么手机
导购#开始	请问，这里能买手机吗
导购#开始	购买
导购#开始	这里有什么手机
导购#开始	这里有手机吗
导购#开始	那看看手机咯
导购#开始	那继续啦
导购#开始	﻿我想买手机
导购#成交	不用，我买了
导购#成交	不错，我买了
导购#成交	不错，我要买他
导购#成交	买
导购#成交	买三个
导购#成交	买下吧
导购#成交	买买买
导购#成交	买了
导购#成交	买吧
导购#成交	买啊
导购#成交	买它了
导购#成交	买这个
导购#成交	买这款
导购#成交	买这款了
导购#成交	买这款吧
导购#成交	买这款手机
导购#成交	买这部
导购#成交	你刚刚推荐的东西挺好的，我都想要一个了
导购#成交	决定是他
导购#成交	决定是她
导购#成交	决定是它
导购#成交	决定是这部了
导购#成交	刚才那台
导购#成交	刚才那台呀
导购#成交	可以，买了
导购#成交	唉，买了买了
导购#成交	嗯嗯，我买了
导购#成交	嗯嗯，那就这个吧 谢谢你
导购#成交	嗯好的我就要这款了
导购#成交	嗯我要了
导购#成交	嗯，买
导购#成交	嗯，买了
导购#成交	嗯，很好，成交
导购#成交	嗯，我就买这款了
导购#成交	嗯，那我买了
导购#成交	够给力，我买了
导购#成交	好
导购#成交	好吧 那我就要它了
导购#成交	好吧 那我就要这台吧
导购#成交	好吧就要这个了
导购#成交	好吧我就要这部了
导购#成交	好吧我要了
导购#成交	好吧那么就要这部手机了
导购#成交	好吧那我就要这部了
导购#成交	好吧，买了
导购#成交	好吧，就要这个
导购#成交	好吧，就这个
导购#成交	好吧，就这个了
导购#成交	好吧，就这款
导购#成交	好吧，我就勉为其难地要地要了这款吧
导购#成交	好吧，我要买一部
导购#成交	好吧，我要买两个
导购#成交	好吧，那么我就要这部了
导购#成交	好吧，那买了
导购#成交	好吧，那就买这款
导购#成交	好吧，那就这款
导购#成交	好吧，那我就要这部了
导购#成交	好呀我就要这部了
导购#成交	好啊就要这部了
导购#成交	好啊，我就要这部了
导购#成交	好啦我就要刚才那部手机
导购#成交	好就要这款
导购#成交	好就这款
导购#成交	好我就要这台了
导购#成交	好我就要这部了
导购#成交	好我想要这部
导购#成交	好的就要这部了
导购#成交	好的就这个
导购#成交	好的我就买这部
导购#成交	好的我就要这部
导购#成交	好的我就要这部了
导购#成交	好的那就这部吧
导购#成交	好的那我就要这部
导购#成交	好的那我就要这部了
导购#成交	好的，就买这款了
导购#成交	好的，就要这台
导购#成交	好的，就要这款了
导购#成交	好的，就这款
导购#成交	好的，我就要这款
导购#成交	好的，我就要这部了！
导购#成交	好的，我要这款了
导购#成交	好的，那么我要买这部
导购#成交	好的，那我就要这部了
导购#成交	好的，那我要这部
导购#成交	好要三个
导购#成交	好那么我就要这款了
导购#成交	好那我就要这部了
导购#成交	好！我就要这款了！
导购#成交	好，买了
导购#成交	好，就它了
导购#成交	好，就它吧
导购#成交	好，就要他了
导购#成交	好，就要这款
导购#成交	好，就要这款了
导购#成交	好，就这款
导购#成交	好，就这款吧
导购#成交	好，我决定买了
导购#成交	好，给我这款
导购#成交	好，这款我要了
导购#成交	好，那就买这款
导购#成交	好，那就这款吧
导购#成交	好，那赶紧成交
导购#成交	对啊，买了
导购#成交	对，买这款
导购#成交	就买刚才那个
导购#成交	就买刚才那台
导购#成交	就买刚才那台呀
导购#成交	就买它
导购#成交	就买它了
导购#成交	就买它吧
导购#成交	就买这个了
导购#成交	就买这台了
导购#成交	就买这款
导购#成交	就买这款了
导购#成交	就买这款吧
导购#成交	就他了
导购#成交	就他吧
导购#成交	就她吧
导购#成交	就它了
导购#成交	就它吧
导购#成交	就是他了
导购#成交	就是她了
导购#成交	就是它了
导购#成交	就是它了吧
导购#成交	就是想要他
导购#成交	就是想要她
导购#成交	就是想要它
导购#成交	就是想要这台
导购#成交	就是要他
导购#成交	就是要她
导购#成交	就是要它
导购#成交	就是要这台
导购#成交	就是这台了
导购#成交	就要他了
导购#成交	就要她了
导购#成交	就要它了
导购#成交	就要它呀
导购#成交	就要这台了
导购#成交	就要这台把
导购#成交	就要这款
导购#成交	就要这款了
导购#成交	就要这款吧
导购#成交	就这个
导购#成交	就这个吧
导购#成交	就这个咯
导购#成交	就这台
导购#成交	就这台吧
导购#成交	就这手机
导购#成交	就这款
导购#成交	就这款了
导购#成交	就这款了，谢谢
导购#成交	就这款吧
导购#成交	就这部
导购#成交	属于我的了
导购#成交	带回家
导购#成交	很好我想要买这部
导购#成交	恩就要这部
导购#成交	恩恩，买了
导购#成交	恩恩，成交
