LABEL	SENTENCE
ID	233333333
ID	3G网络
ID	5寸主屏
ID	800万像素能不能拍出清晰的照片？能满足我的购买需求吗
ID	9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
ID	CPU型号
ID	CPU好一点的
ID	CPU核数
ID	CPU频率
ID	GPS导航
ID	GPU型号
ID	HANMAC好吗
ID	Modem功能
ID	RAM容量
ID	ROM容量
ID	SIM卡类型
ID	WIFI热点
ID	WLAN
ID	一加
ID	一加手机
ID	一把就行
ID	一样
ID	三普手机
ID	三盟
ID	三盟手机
ID	上市日期
ID	不支持美颜的二妈
ID	不知道有什么品牌，高端一点的吧
ID	主屏
ID	主屏分辨率
ID	主屏尺寸
ID	主屏材质
ID	主屏色彩
ID	主流
ID	乐目
ID	乐目呗
ID	乐目好吗
ID	乐目的吧
ID	乐视
ID	乐视的
ID	买这部手机有没有优惠
ID	产品特性
ID	人气
ID	什么品牌的手机比较好
ID	什么颜色比较好
ID	价格
ID	价格多少
ID	价钱多少
ID	优思
ID	优惠
ID	传感器类型
ID	你们卖不卖二手手机
ID	你好，想开个拍照比较牛的手机
ID	你好，我想给家里老人买一台手机。有什么推荐？
ID	你的手机是什么牌子的
ID	你觉得哪个品牌好
ID	你这里不会卖山寨手机吧
ID	你这里最好的手机是那一部
ID	使用对象
ID	保修政策
ID	保修详细内容
ID	像素
ID	像素啊
ID	像素好点的
ID	前置摄像头
ID	前置摄像头像素
ID	前置摄像头好就行
ID	前置摄像头要好
ID	努比亚
ID	卖得好吗
ID	变焦倍率
ID	变焦模式
ID	可不可以介绍下苹果5s？
ID	可以给我打个折吗
ID	同心手机
ID	名字不好听
ID	后置摄像头
ID	后置摄像头像素
ID	听说这手机的参数不怎么样
ID	听说这手机的参数很不怎么样
ID	听说这手机的参数很高
ID	品牌
ID	哪个性能好
ID	哪个操作系统好
ID	哪个颜色好
ID	哪些手机是最近比较好卖？
ID	哪款性能好
ID	哪款颜色好
ID	哪种性价比比较高
ID	哪种类性价比会比较高
ID	啥时候的手机啊
ID	四五千吧
ID	国产手机
ID	国产手机太烂了
ID	国产的
ID	国产的有什么好推荐呢？
ID	型号
ID	基本功能
ID	外观设计
ID	大部分人对手机评价如何
ID	好像这部手机性能很高
ID	好吧 这台手机像素如何
ID	好吧，什么手机比较实惠呢？
ID	好吧，这么少
ID	好用吗
ID	好的我要LA3
ID	好的那么我要黑色的
ID	好的，像素多少
ID	好，就要黑色的
ID	存储卡类型
ID	它打电话算不算清晰吧
ID	它的屏幕色彩数据能不能满足我的需求
ID	对焦方式
ID	小米
ID	就是前置摄像头好的
ID	屏幕不错
ID	屏幕分辨率要高
ID	屏幕大小
ID	屏幕大的
ID	屏幕的分辨率高吗？
ID	平均月销量
ID	当前最流行的是哪个品牌
ID	待机三天对我是不是足够
ID	待机时间。。
ID	性价比高吗
ID	性能不错
ID	性能好点的
ID	感应器类型
ID	感觉这手机屏幕有点小
ID	感觉这手机用起来不是很流畅啊
ID	我不清楚我喜不喜欢这部手机的音质
ID	我不清楚我的手机卡能不能装在这部手机里
ID	我不清楚我需不需要蓝牙功能
ID	我不清楚手机保修方不方便
ID	我不知道够不够钱
ID	我不知道它的网速是否能满足我的需求
ID	我不知道我的钱够不够买这部手机
ID	我不知道这部手机的操作系统是否适合我
ID	我买这手机会不会显得高大上
ID	我喜欢像素比较高的
ID	我喜欢内存比较大的手机
ID	我喜欢分辨率比较高的
ID	我喜欢屏幕大一点的
ID	我喜欢玩游戏
ID	我喜欢用起来很流畅的手机
ID	我喜欢自拍
ID	我喜欢自拍，有什么手机吗
ID	我妈眼睛不是很好
ID	我应该用不上那么多功能
ID	我想买一台摄像头好点的
ID	我想买一部自拍比较好的手机
ID	我想买好一点的手机
ID	我想买性能好点的
ID	我想买性能好的手机
ID	我想买来玩游戏
ID	我想买艾酷手机
ID	我想看一下这部三星的手机
ID	我想看一下这部中兴的手机
ID	我想看一下这部华为的手机
ID	我想看一下这部小米的手机
ID	我想看一下这部诺基亚的手机
ID	我想看一下那部双核的手机
ID	我想要一台前置摄像头好的手机
ID	我想要一台好看的手机
ID	我想要一款好看的手机
ID	我想要一部屏幕大的手机
ID	我想要一部屏幕比较大的手机
ID	我想要一部屏幕适中的型号
ID	我想要一部性价比比较高的手机
ID	我想要拍照
ID	我想要拍照好看的
ID	我想要摄像头比较好的手机
ID	我想要摄像头高的
ID	我想要部性价比高的
ID	我能不能用完手机上的全部功能呢
ID	我要800像素
ID	我要一个废旧的特别高的手机
ID	我要一台便宜的手机
ID	我要一台白色后盖的
ID	我要伤心
ID	我要伤心我要伤心
ID	我要内存大的手机
ID	我要好点的
ID	我要好的
ID	我要好的手机
ID	我要屏幕比较大
ID	我要灰色的
ID	我要的是拉风类型的
ID	我要贵的手机
ID	我觉得这手机性价比没有那部高
ID	我觉得这款屏幕不大
ID	我觉得这款手机有点贵
ID	我问的是回头率
ID	手机上的原装应用会不会多
ID	手机上的应用好像不能删除
ID	手机发热厉害吗
ID	手机屏幕容易碎吗
ID	手机拍照好看吗
ID	手机收到的差评多吗
ID	手机有什么颜色
ID	手机有多重
ID	手机的好评多吗
ID	手机的好评率多少
ID	手机的屏幕有多大
ID	手机的电池一般可以用几天
ID	手机的电池如何
ID	手机的系统好用吗
ID	手机的音质如何
ID	手机的预装软件可以卸载吗
ID	手机类型
ID	手机质量
ID	手机质量比较好
ID	手机运行速度如何
ID	手机部件
ID	手机重量
ID	手机附件
ID	拍摄模式
ID	拍照
ID	拍照功能
ID	拍照比较好的手机
ID	拍照清晰的
ID	推荐一台好用的手机给我
ID	推荐一台好的手机给我
ID	推荐一款好用的手机吧
ID	推荐一款性价比高的手机给我吧
ID	摄像头好一点的
ID	摄像头好的
ID	摄像头有更好的么
ID	摄像头比较好的手机有哪一些牌子
ID	操作系统
ID	支持国产，谢谢
ID	支持自拍的
ID	收音机
ID	数据功能
ID	数据接口
ID	数据线类型
ID	旗舰级
ID	是不是什么牌子的手机都有
ID	是说尺寸了大哥
ID	最大扩展容量
ID	最大拍照尺寸
ID	最好的品牌
ID	最新的就好
ID	最近哪款手机比较流行？
ID	最近哪款比较流行？
ID	最近比较流行的手机有哪些
ID	有什么品牌的手机
ID	有便宜的手机推荐吗
ID	有和这台手机相似的手机推荐吗
ID	有哪些1000块的手机适合我
ID	有多高的
ID	有安卓的手机吗
ID	有屏幕大一点的手机吗
ID	有支持美颜的手机吗
